시작일,종료일,직업,직업코드,분류단계,AI 사용 비율(%)
2026-05-01,2026-06-01,Insurance Claims and Policy Processing Clerks,43-9041.00,0,0.84
2026-05-01,2026-06-01,Computer Hardware Engineers,17-2061.00,0,0.83
2026-04-01,2026-05-01,Demonstrators and Product Promoters,41-9011.00,0,0.79
2026-05-01,2026-06-01,"Directors, Religious Activities and Education",21-2021.00,0,0.76
2026-05-01,2026-06-01,"Office Clerks, General",43-9061.00,0,0.76
2026-04-01,2026-05-01,Cardiologists,29-1212.00,0,0.75
2026-05-01,2026-06-01,Clinical and Counseling Psychologists,19-3033.00,0,0.74
2026-05-01,2026-06-01,Sales Engineers,41-9031.00,0,0.73
2026-04-01,2026-05-01,Clinical and Counseling Psychologists,19-3033.00,0,0.73
2026-04-01,2026-05-01,"Directors, Religious Activities and Education",21-2021.00,0,0.71
2026-04-01,2026-05-01,"Office Clerks, General",43-9061.00,0,0.7
2026-04-01,2026-05-01,Sales Engineers,41-9031.00,0,0.69
2026-04-01,2026-05-01,Data Scientists,15-2051.00,0,0.67
2026-05-01,2026-06-01,Advertising and Promotions Managers,11-2011.00,0,0.67
2026-04-01,2026-05-01,Advertising and Promotions Managers,11-2011.00,0,0.66
2026-05-01,2026-06-01,Web Developers,15-1254.00,0,0.64
2026-04-01,2026-05-01,Web Developers,15-1254.00,0,0.64
2026-05-01,2026-06-01,"Installation, Maintenance, and Repair",49,1,0.62
2026-05-01,2026-06-01,Lawyers,23-1011.00,0,0.62
2026-05-01,2026-06-01,Healthcare Support,31,1,0.62
2026-04-01,2026-05-01,Quality Control Analysts,19-4099.01,0,0.61
2026-05-01,2026-06-01,Data Scientists,15-2051.00,0,0.61
2026-05-01,2026-06-01,"Teaching Assistants, Postsecondary",25-9044.00,0,0.6
2026-05-01,2026-06-01,Online Merchants,13-1199.06,0,0.6
2026-05-01,2026-06-01,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,0,0.58
2026-05-01,2026-06-01,Desktop Publishers,43-9031.00,0,0.58
2026-04-01,2026-05-01,Lawyers,23-1011.00,0,0.57
2026-05-01,2026-06-01,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,0,0.56
2026-04-01,2026-05-01,"Installation, Maintenance, and Repair",49,1,0.56
2026-04-01,2026-05-01,Healthcare Support,31,1,0.55
2026-04-01,2026-05-01,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,0,0.55
2026-05-01,2026-06-01,Quality Control Analysts,19-4099.01,0,0.55
2026-04-01,2026-05-01,Online Merchants,13-1199.06,0,0.55
2026-04-01,2026-05-01,"Teaching Assistants, Postsecondary",25-9044.00,0,0.54
2026-05-01,2026-06-01,Marriage and Family Therapists,21-1013.00,0,0.53
2026-04-01,2026-05-01,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,0,0.53
2026-05-01,2026-06-01,Marketing Managers,11-2021.00,0,0.53
2026-05-01,2026-06-01,Business Intelligence Analysts,15-2051.01,0,0.52
2026-04-01,2026-05-01,Marriage and Family Therapists,21-1013.00,0,0.51
2026-05-01,2026-06-01,"Education Administrators, Kindergarten through Secondary",11-9032.00,0,0.51
2026-04-01,2026-05-01,Desktop Publishers,43-9031.00,0,0.5
2026-04-01,2026-05-01,Marketing Managers,11-2021.00,0,0.5
2026-04-01,2026-05-01,Business Intelligence Analysts,15-2051.01,0,0.49
2026-05-01,2026-06-01,Food Preparation and Serving Related,35,1,0.48
2026-04-01,2026-05-01,Stationary Engineers and Boiler Operators,51-8021.00,0,0.47
2026-05-01,2026-06-01,Telemarketers,41-9041.00,0,0.47
2026-04-01,2026-05-01,"Education Administrators, Kindergarten through Secondary",11-9032.00,0,0.46
2026-04-01,2026-05-01,Telemarketers,41-9041.00,0,0.45
2026-05-01,2026-06-01,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,0,0.45
2026-05-01,2026-06-01,Stationary Engineers and Boiler Operators,51-8021.00,0,0.45
2026-05-01,2026-06-01,Computer and Information Systems Managers,11-3021.00,0,0.45
2026-05-01,2026-06-01,Statistical Assistants,43-9111.00,0,0.44
2026-05-01,2026-06-01,"Education Administrators, Postsecondary",11-9033.00,0,0.44
2026-05-01,2026-06-01,Mental Health Counselors,21-1014.00,0,0.43
2026-04-01,2026-05-01,Computer and Information Systems Managers,11-3021.00,0,0.43
2026-04-01,2026-05-01,Statistical Assistants,43-9111.00,0,0.42
2026-05-01,2026-06-01,Nursing Assistants,31-1131.00,0,0.42
2026-04-01,2026-05-01,Mental Health Counselors,21-1014.00,0,0.42
2026-04-01,2026-05-01,Bioinformatics Scientists,19-1029.01,0,0.42
